Conductivity,Weight,Temperature1,Temperature2,Temperature3,Temperature4,Year,Month,Day,Hour,Minute,Second
525.51,0.0,22.53,22.60,22.54,22.30,2019,4,19,14,48,14
525.51,0.0,22.53,22.64,22.54,22.34,2019,4,19,14,48,19
520.82,0.0,22.53,22.60,22.54,22.34,2019,4,19,14,48,24
520.82,0.0,22.53,22.60,22.54,22.34,2019,4,19,14,48,29
525.51,0.0,22.57,22.60,22.54,22.34,2019,4,19,14,48,34
525.51,0.0,22.53,22.60,22.54,22.30,2019,4,19,14,48,39
530.21,0.0,22.53,22.60,22.50,22.30,2019,4,19,14,48,44
525.51,0.0,22.53,22.60,22.54,22.30,2019,4,19,14,48,49
520.82,0.0,22.53,22.60,22.57,22.30,2019,4,19,14,48,54
520.82,0.0,22.57,22.60,22.54,22.34,2019,4,19,14,48,59
525.51,0.0,22.57,22.60,22.57,22.30,2019,4,19,14,49,4
530.21,0.0,22.53,22.57,22.54,22.30,2019,4,19,14,49,9
520.82,0.0,22.53,22.60,22.54,22.30,2019,4,19,14,49,14
525.51,0.0,22.53,22.60,22.54,22.30,2019,4,19,14,49,19
530.21,0.0,22.57,22.64,22.54,22.30,2019,4,19,14,49,24
520.82,0.0,22.53,22.60,22.54,22.30,2019,4,19,14,49,29
520.82,0.0,22.57,22.60,22.54,22.34,2019,4,19,14,49,34
530.21,0.0,22.57,22.60,22.54,22.30,2019,4,19,14,49,39
520.82,0.0,22.57,22.60,22.54,22.30,2019,4,19,14,49,44
525.51,0.0,22.57,22.64,22.54,22.30,2019,4,19,14,49,49
520.82,0.0,22.57,22.60,22.54,22.30,2019,4,19,14,49,54
530.21,0.0,22.53,22.64,22.54,22.30,2019,4,19,14,49,59
525.51,0.0,22.57,22.64,22.54,22.34,2019,4,19,14,50,4
530.21,0.0,22.57,22.64,22.54,22.30,2019,4,19,14,50,9
520.82,0.0,22.53,22.60,22.54,22.34,2019,4,19,14,50,14
520.82,0.0,22.57,22.60,22.54,22.27,2019,4,19,14,50,19
520.82,0.0,22.53,22.64,22.54,22.30,2019,4,19,14,50,24
520.82,0.0,22.53,22.60,22.54,22.30,2019,4,19,14,50,29
520.82,0.0,22.57,22.60,22.54,22.34,2019,4,19,14,50,34
525.51,0.0,22.53,22.60,22.54,22.30,2019,4,19,14,50,39
520.82,0.0,22.57,22.60,22.54,22.34,2019,4,19,14,50,44 
436.36,0.0,58.27,52.36,25.03,30.98,2019,4,19,14,52,0
441.06,0.0,58.31,52.36,25.07,31.01,2019,4,19,14,52,0
441.06,0.0,58.31,52.36,25.10,30.98,2019,4,19,14,52,0
441.06,0.0,58.31,52.36,25.13,31.01,2019,4,19,14,52,0
436.36,0.0,58.31,52.36,25.13,31.01,2019,4,19,14,52,0
436.36,0.0,58.34,52.36,25.17,31.04,2019,4,19,14,52,4
441.06,0.0,58.34,52.36,25.20,31.08,2019,4,19,14,52,9
436.36,0.0,58.34,52.39,25.20,31.04,2019,4,19,14,52,14
445.75,0.0,58.34,52.39,25.20,31.04,2019,4,19,14,52,19
441.06,0.0,58.34,52.36,25.17,31.08,2019,4,19,14,52,24
436.36,0.0,58.34,52.39,25.20,31.11,2019,4,19,14,52,29
445.75,0.0,58.34,52.39,25.20,31.08,2019,4,19,14,52,34
436.36,0.0,58.31,52.39,25.23,31.11,2019,4,19,14,52,39
436.36,0.0,58.27,52.36,25.23,31.11,2019,4,19,14,52,44
431.67,0.0,58.24,52.36,25.23,31.15,2019,4,19,14,52,49
436.36,0.0,58.27,52.36,25.23,31.15,2019,4,19,14,52,54
441.06,0.0,58.31,52.32,25.23,31.15,2019,4,19,14,52,59
431.67,0.0,58.24,52.32,25.27,31.11,2019,4,19,14,53,4
441.06,0.0,58.24,52.32,25.27,31.11,2019,4,19,14,53,9
445.75,0.0,58.24,52.32,25.27,31.11,2019,4,19,14,53,14
431.67,0.0,58.20,52.29,25.30,31.15,2019,4,19,14,53,19
436.36,0.0,58.24,52.29,25.30,31.11,2019,4,19,14,53,25
436.36,0.0,58.20,52.29,25.27,31.15,2019,4,19,14,53,30
