Cond	Weight	HotIn	HotOut	ColdIn	ColdOut	Month	Day	Hour	Minute	Second
431.67	1601.0	71.20	66.05	31.82	38.11	5	20	12	45	0
441.06	1611.0	70.76	65.78	31.72	37.91	5	20	12	46	0
441.06	1621.0	70.79	65.78	31.78	37.98	5	20	12	47	0
441.06	1631.0	70.66	65.81	31.82	38.08	5	20	12	48	0
441.06	1641.0	70.69	65.71	31.72	37.91	5	20	12	49	0
436.36	1651.0	70.69	65.71	31.65	37.84	5	20	12	50	0
436.36	1661.5	70.66	65.68	31.68	37.91	5	20	12	51	0
431.67	1671.0	70.66	65.71	31.85	38.01	5	20	12	52	1
436.36	1681.0	70.79	65.78	31.78	38.01	5	20	12	53	1
431.67	1691.0	70.79	65.85	31.82	38.05	5	20	12	54	1
436.36	1702.5	70.55	65.71	31.78	38.05	5	20	12	55	1
436.36	1711.0	70.72	65.75	31.82	38.05	5	20	12	56	1
431.67	1721.0	70.72	65.78	31.65	37.94	5	20	12	57	1
441.06	1731.0	70.72	65.75	31.75	37.94	5	20	12	58	1
431.67	1741.0	70.76	65.78	31.92	38.08	5	20	12	59	1
436.36	1751.0	70.79	65.85	31.85	38.08	5	20	13	0	1
441.06	1761.5	70.90	65.88	31.82	38.05	5	20	13	1	2
441.06	1770.5	70.79	65.88	31.68	37.98	5	20	13	2	2
441.06	1780.5	70.86	65.88	31.45	37.84	5	20	13	3	2
436.36	1790.5	70.79	65.88	31.65	37.84	5	20	13	4	2
436.36	1801.0	70.96	65.95	31.75	37.98	5	20	13	5	2
436.36	1810.0	70.93	66.02	31.68	38.01	5	20	13	6	2
431.67	1817.5	70.90	65.88	31.68	37.91	5	20	13	7	2
431.67	1823.5	70.79	65.92	31.72	37.94	5	20	13	8	2
441.06	1828.5	70.72	65.85	31.78	38.01	5	20	13	9	2
408.21	1832.0	70.96	65.88	31.72	37.98	5	20	13	10	2
408.21	1835.5	70.90	65.92	31.61	37.91	5	20	13	11	3
408.21	1838.5	70.83	65.92	31.68	37.91	5	20	13	12	3
398.83	1841.5	70.76	65.75	31.65	37.88	5	20	13	13	3
408.21	1844.0	70.90	65.88	31.72	37.91	5	20	13	14	3
408.21	1846.0	70.79	65.95	31.85	38.05	5	20	13	15	3
403.52	1848.0	70.93	65.99	31.78	38.01	5	20	13	16	3
408.21	1850.0	71.03	66.05	31.85	38.08	5	20	13	17	3
408.21	1851.5	70.93	65.99	31.75	38.01	5	20	13	18	3
398.83	1853.0	70.96	65.99	31.78	38.05	5	20	13	19	3
403.52	1854.5	70.96	66.02	31.78	38.01	5	20	13	20	4
403.52	1857.5	71.07	66.09	31.72	38.01	5	20	13	21	4
403.52	1862.5	71.00	66.02	31.65	37.91	5	20	13	22	4
408.21	1869.0	70.86	66.02	31.65	37.88	5	20	13	23	4
408.21	1877.0	70.90	65.95	31.55	37.77	5	20	13	24	4
408.21	1885.5	71.00	66.02	31.72	37.88	5	20	13	25	4
408.21	1894.0	70.83	65.99	31.75	37.98	5	20	13	26	4
408.21	1903.0	71.03	66.05	31.82	38.08	5	20	13	27	4
403.52	1912.0	70.96	66.12	31.72	37.98	5	20	13	28	4
403.52	1929.5	71.20	66.29	26	31.51	37.67	5	20	13	30	0
